Name,Brand,Category,Color,Location,Width,Depth,Height,Price,Link
Blackstone Upholstered Square Stitched,Zinus,Bed,Black,Bedroom,76.2,80.5,38.4,319.0,https://www.costco.com/blackstone-by-zinus-upholstered-square-stitched-platform-bed.product.100428874.html
Norah,Springhill Designs,Drawer,White,Bedroom,49.0,19.0,54.0,1599.0,https://www.costco.com/norah-door-chest.product.100324715.html
Urban Park,Northridge Home,Nightstand,Brown,Bedroom,28.0,18.0,29.0,499.0,https://www.costco.com/urban-park-nightstand.product.100653452.html
Oberlin Tall Chest,CB3,Chest,"Winston, Licorice",Bedroom,55.0,20.0,51.75,1199.0,https://www.cb2.com/oberlin-tall-chest/s537302
Loma Oak,CB2,Wardrobe,Oak,Bedroom,44.0,26.0,62.0,2639.2,https://www.cb2.com/loma-oak-wardrobe/s523800
Mid-Century Tripod Floor Lamp,West Elm,Lighting,Antique Brass,Bedroom,22.0,22.0,66.0,399.0,https://www.westelm.com/products/mid-century-tripod-floor-lamp-w3395/?pkey=cbedroom-lighting
Colca Wool Rug,West Elm,Rug,Flax,Bedroom,10.0,14.0,0.5,1399.0,https://www.westelm.com/products/colca-wool-rug-t1657/?pkey=cwool-rugs
